City,City ID,Country,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Max Temp,Date
Hobart,2163355,AU,-42.88,147.33,55.47,62,75,9.17,55.99,1570591870
Neiafu,4032420,TO,-18.65,-173.98,80.6,74,75,4.7,80.6,1570591871
Comodoro Rivadavia,3860443,AR,-45.87,-67.48,53.6,53,0,20.8,53.6,1570591871
Busselton,2075265,AU,-33.64,115.35,72.91,33,100,9.22,78.01,1570591871
Ilulissat,3423146,GL,69.22,-51.1,26.6,63,14,2.24,26.6,1570591871
Vaini,1273574,IN,15.34,74.49,69.8,94,75,2.17,69.8,1570591872
Cape Town,3369157,ZA,-33.93,18.42,57.24,76,75,11.41,59.0,1570591769
Georgetown,3378644,GY,6.8,-58.16,77.0,100,20,2.24,77.0,1570591788
Ribeira Grande,3372707,PT,38.52,-28.7,60.89,70,1,8.29,60.89,1570591872
Mataura,6201424,NZ,-46.19,168.86,51.01,98,100,3.0,51.01,1570591873
Watertown,5232741,US,44.9,-97.12,57.6,67,1,11.41,60.8,1570591873
New Norfolk,2155415,AU,-42.78,147.06,55.47,62,75,9.17,55.99,1570591873
Bredasdorp,1015776,ZA,-34.53,20.04,55.78,71,97,9.17,55.99,1570591873
Itororo,3460542,BR,-15.12,-40.07,62.24,98,14,2.33,62.24,1570591874
Iqaluit,5983720,CA,63.75,-68.52,35.26,87,75,4.06,35.6,1570591874
Butaritari,2110227,KI,3.07,172.79,85.14,66,35,11.13,85.14,1570591874
Jamestown,2069194,AU,-33.21,138.6,68.9,25,71,2.21,68.9,1570591875
Bluff,2175403,AU,-23.58,149.07,88.86,18,0,10.04,88.86,1570591875
Klaksvik,2618795,FO,62.23,-6.59,48.2,100,100,14.99,48.2,1570591875
Punta Arenas,3874787,CL,-53.16,-70.91,41.76,75,75,10.29,42.8,1570591875
Mercedes,3441684,UY,-33.25,-58.03,57.0,86,0,1.99,57.0,1570591876
Atar,2381334,MR,20.52,-13.05,82.22,11,100,1.65,82.22,1570591876
Ostrovnoy,556268,RU,68.05,39.51,33.35,99,64,8.25,33.35,1570591876
Faanui,4034551,PF,-16.48,-151.75,76.03,85,97,25.25,76.03,1570591877
Kautokeino,779330,NO,69.01,23.04,28.2,90,99,11.14,28.2,1570591877
Talnakh,1490256,RU,69.49,88.39,21.2,85,0,6.71,21.2,1570591877
Rio Esteban,3602769,HN,15.83,-86.3,86.0,84,40,17.22,86.0,1570591877
Port Elizabeth,4501427,US,39.31,-74.98,59.81,59,90,9.17,64.0,1570591878
Rikitea,4030556,PF,-23.12,-134.97,67.35,82,100,12.89,67.35,1570591878
Albany,5106834,US,42.65,-73.75,45.93,87,40,5.26,51.01,1570591710
Lompoc,5367788,US,34.64,-120.46,55.9,93,90,5.82,60.8,1570591878
Alofi,4036284,NU,-19.06,-169.92,78.8,65,75,11.41,78.8,1570591879
Sovetskiy,490040,RU,56.76,48.47,32.45,94,94,1.57,32.45,1570591879
Lixourion,258175,GR,38.2,20.43,67.82,73,20,11.41,69.8,1570591879
Nikolskoye,546105,RU,59.7,30.79,41.04,86,75,4.47,42.01,1570591879
Poum,787487,MK,41.28,20.71,44.49,90,0,1.87,44.49,1570591880
Grindavik,3416888,IS,63.84,-22.43,44.6,100,75,2.24,44.6,1570591880
East London,1006984,ZA,-33.02,27.91,60.8,93,75,13.87,60.8,1570591880
Lebu,344979,ET,8.96,38.73,50.18,95,96,1.59,50.18,1570591880
Pevek,2122090,RU,69.7,170.27,30.81,83,100,17.67,30.81,1570591881
Hithadhoo,1282256,MV,-0.6,73.08,82.15,71,89,4.65,82.15,1570591881
Saskylakh,2017155,RU,71.97,114.09,17.63,95,89,5.44,17.63,1570591881
Cabo San Lucas,3985710,MX,22.89,-109.91,80.22,65,5,6.22,84.0,1570591882
Cidreira,3466165,BR,-30.17,-50.22,61.84,91,0,5.06,61.84,1570591882
Esso,2125711,RU,55.93,158.7,31.71,100,47,6.58,31.71,1570591882
Ushuaia,3833367,AR,-54.81,-68.31,39.2,80,75,24.16,39.2,1570591882
Carnarvon,1014034,ZA,-30.97,22.13,52.07,42,0,8.32,52.07,1570591883
Lensk,2020838,RU,60.71,114.91,18.46,83,94,5.66,18.46,1570591883
Yulara,6355222,AU,-25.24,130.99,82.4,15,0,10.29,82.4,1570591884
Kruisfontein,986717,ZA,-34.0,24.73,58.14,83,89,18.61,58.14,1570591884
Lagos,2332459,NG,6.46,3.39,75.2,100,40,2.24,75.2,1570591884
Port Hardy,6111862,CA,50.7,-127.42,41.0,75,5,8.05,41.0,1570591805
Hanna,5970234,CA,51.64,-111.93,23.0,78,100,3.0,23.0,1570591884
Sarlat-la-Caneda,2976007,FR,44.89,1.22,56.48,93,75,2.24,59.0,1570591885
Thompson,6165406,CA,55.74,-97.86,37.4,64,75,6.93,37.4,1570591885
Aksarka,1512019,RU,66.56,67.8,35.13,92,100,8.38,35.13,1570591885
Mount Gambier,2156643,AU,-37.83,140.78,55.4,76,90,10.29,55.4,1570591885
Kodiak,4407665,US,39.95,-94.76,58.03,59,1,8.05,60.8,1570591886
Arraial do Cabo,3471451,BR,-22.97,-42.02,70.91,98,100,5.68,70.91,1570591886
San Rafael,3836669,AR,-34.61,-68.33,58.06,30,79,2.5,58.06,1570591886
La Rinconada,7626291,PE,-14.63,-69.45,32.41,90,0,0.87,32.41,1570591887
Kaitangata,2208248,NZ,-46.28,169.85,50.0,92,100,11.99,50.0,1570591887
Port Macquarie,2152659,AU,-31.43,152.91,69.49,42,40,20.8,73.0,1570591887
Ojinaga,3994469,US,29.56,-104.41,79.43,39,1,5.82,82.4,1570591887
Hofn,2630299,IS,64.25,-15.21,47.1,87,99,33.77,47.1,1570591888
Half Moon Bay,5354943,US,37.46,-122.43,61.9,72,40,16.11,66.2,1570591781
Axim,2303611,GH,4.87,-2.24,77.07,88,100,14.03,77.07,1570591888
Arlit,2447513,NE,18.74,7.39,85.17,43,37,10.14,85.17,1570591888
Esperance,2071860,AU,-33.86,121.89,78.8,27,100,14.99,78.8,1570591888
Bethel,5880568,US,60.79,-161.76,45.61,81,90,19.46,46.4,1570591889
Hermanus,3366880,ZA,-34.42,19.24,55.99,91,100,3.0,55.99,1570591889
Ponta do Sol,3453439,BR,-20.63,-46.0,66.02,92,99,2.94,66.02,1570591889
Maniitsoq,3421982,GL,65.42,-52.9,36.35,43,94,8.48,36.35,1570591889
Upernavik,3418910,GL,72.79,-56.15,31.26,53,0,8.81,31.26,1570591890
Magadan,2123628,RU,59.56,150.8,37.04,81,100,19.99,37.04,1570591890
Bestobe,1525376,KZ,52.5,73.1,56.71,60,0,5.61,56.71,1570591891
Kaeo,2189343,NZ,-35.1,173.78,68.9,85,90,9.6,70.0,1570591891
Vestmannaeyjar,3412093,IS,63.44,-20.27,48.27,81,100,6.78,48.27,1570591891
Puerto Ayora,3652764,EC,-0.74,-90.35,64.99,94,9,5.01,64.99,1570591891
Atuona,4020109,PF,-9.8,-139.03,79.48,70,11,9.61,79.48,1570591892
Almaznyy,582447,RU,48.03,40.04,32.0,68,0,4.38,32.0,1570591892
Nampa,5601933,US,43.57,-116.56,50.79,66,90,10.29,54.0,1570591892
Mar del Plata,3863379,AR,-46.43,-67.52,52.3,44,46,24.7,52.3,1570591892
San Policarpo,1688696,PH,12.18,125.51,86.0,67,100,7.92,86.0,1570591893
Jalu,86049,LY,29.03,21.55,79.36,21,61,22.73,79.36,1570591893
Warrenton,941931,ZA,-28.11,24.85,56.21,25,0,6.24,56.21,1570591893
Port Alfred,964432,ZA,-33.59,26.89,60.01,91,15,4.0,60.01,1570591893
Lumeje,876123,AO,-11.56,20.78,68.54,65,97,5.5,68.54,1570591894
Cockburn Town,3576994,TC,21.46,-71.14,83.1,80,100,18.58,83.1,1570591894
Bonavista,5905393,CA,48.65,-53.11,50.0,86,41,11.99,50.0,1570591894
Kapaa,5848280,US,22.08,-159.32,76.68,94,75,9.17,80.6,1570591894
Saint George,262462,GR,39.45,22.34,59.0,100,75,3.36,59.0,1570591895
Tuatapere,2180815,NZ,-46.13,167.69,51.01,98,100,3.0,51.01,1570591895
Tautira,4033557,PF,-17.73,-149.15,78.33,69,75,6.93,78.8,1570591895
Qaqortoq,3420846,GL,60.72,-46.03,39.2,80,75,11.07,39.2,1570591895
Baculin,1729469,PH,7.45,126.58,83.68,68,26,5.98,83.68,1570591896
Pacific Grove,5380437,US,36.62,-121.92,61.09,77,1,3.96,66.99,1570591896
Husavik,5961417,CA,50.56,-96.99,54.95,79,100,16.71,55.99,1570591896
Manta,685981,RO,45.1,24.1,39.11,78,0,2.06,39.11,1570591896
Bodden Town,3580733,KY,19.28,-81.25,84.09,83,20,5.82,84.2,1570591897
Cherskiy,2126199,RU,68.75,161.3,18.81,91,96,5.42,18.81,1570591897
North Bend,5742974,US,43.41,-124.22,50.13,81,90,17.22,52.0,1570591897
Dikson,1507390,RU,73.51,80.55,21.72,86,94,13.62,21.72,1570591898
Kasongo-Lunda,2315026,CD,-6.48,16.82,66.09,95,100,0.72,66.09,1570591898
Port Hedland,2063042,AU,-20.31,118.58,102.2,26,0,10.29,102.2,1570591898
Higueron,3711668,PA,8.5,-82.29,64.87,88,75,3.36,78.8,1570591898
Mitu,117392,IR,36.2,46.09,47.12,65,57,2.17,47.12,1570591899
Chuy,3443061,UY,-33.69,-53.46,54.97,77,0,5.61,54.97,1570591899
Basco,4863349,US,40.33,-91.2,55.27,87,1,4.7,62.6,1570591899
Nanortalik,3421765,GL,60.14,-45.24,40.13,86,100,7.11,40.13,1570591899
Sinnamary,3380290,GF,5.38,-52.96,81.86,80,38,18.59,81.86,1570591900
Chicama,3698359,PE,-7.84,-79.15,60.8,87,90,9.17,60.8,1570591900
Port Shepstone,964406,ZA,-30.74,30.45,57.22,81,0,3.02,57.22,1570591900
Oga,3175788,IT,46.46,10.35,38.7,100,0,5.82,44.01,1570591900
Makasar,1642911,ID,-6.28,106.88,87.51,58,40,4.7,87.8,1570591901
Auki,2339937,NG,12.18,6.51,72.46,90,100,6.78,72.46,1570591901
Kutum,371745,SD,14.2,24.66,72.0,65,69,4.5,72.0,1570591901
Torbay,6167817,CA,47.66,-52.73,50.54,93,90,19.46,52.0,1570591901
Fortuna,2517679,ES,38.18,-1.13,63.72,88,0,1.89,66.99,1570591902
Tuktoyaktuk,6170031,CA,69.44,-133.03,28.4,86,40,8.05,28.4,1570591902
Coquimbo,3893629,CL,-29.95,-71.34,50.0,100,100,3.27,50.0,1570591902
